"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","11R4","Labridae","Bodianus","frenchii",428.81904,67.5,382.5,450,"too big",46.31904,95.29312
"2014-12_Geographe.Bay_stereoBRUVs","12RC7","Sillaginidae","Sillaginodes","punctatus",8604.89054,108,612,720,"too big",7992.89054,1195.12368611111
"2014-12_Geographe.Bay_stereoBRUVs","44","Sparidae","Chrysophrys","auratus",180.97111,195,1105,1300,"too small",14.02889,13.9208546153846
"2014-12_Geographe.Bay_stereoBRUVs","384","Labridae","Bodianus","frenchii",443.39001,67.5,382.5,450,"too big",60.89001,98.5311133333333
"2014-12_Geographe.Bay_stereoBRUVs","GBR4-2","Berycidae","Centroberyx","lineatus",1900.01451,69,391,460,"too big",1509.01451,413.046632608696
"2014-12_Geographe.Bay_stereoBRUVs","13RC13","Labridae","Eupetrichthys","angustipes",123.3676,18.6,105.4,124,"too big",17.9676,99.49
"2014-12_Geographe.Bay_stereoBRUVs","13RC13","Labridae","Coris","auricularis",367.48143,60,340,400,"too big",27.48143,91.8703575
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Coris","auricularis",374.53079,60,340,400,"too big",34.53079,93.6326975
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Coris","auricularis",352.60251,60,340,400,"too big",12.60251,88.1506275
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Coris","auricularis",342.6355,60,340,400,"too big",2.63549999999998,85.658875
"2014-12_Geographe.Bay_stereoBRUVs","GBR-BOB","Labridae","Ophthalmolepis","lineolatus",344.19143,60,340,400,"too big",4.19143000000003,86.0478575
"2014-12_Geographe.Bay_stereoBRUVs","2","Labridae","Bodianus","frenchii",395.15196,67.5,382.5,450,"too big",12.65196,87.8115466666667
"2014-12_Geographe.Bay_stereoBRUVs","442","Monacanthidae","Chaetodermis","penicilligerus",282.44742,46.5,263.5,310,"too big",18.94742,91.1120709677419
"2014-12_Geographe.Bay_stereoBRUVs","208","Labridae","Eupetrichthys","angustipes",134.60785,18.6,105.4,124,"too big",29.20785,108.554717741936
"2014-12_Geographe.Bay_stereoBRUVs","208","Labridae","Coris","auricularis",350.22959,60,340,400,"too big",10.22959,87.5573975
"2014-12_Geographe.Bay_stereoBRUVs","218","Labridae","Austrolabrus","maculatus",118.90263,18.825,106.675,125.5,"too big",12.22763,94.7431314741036
"2014-12_Geographe.Bay_stereoBRUVs","218","Pomacentridae","Chromis","klunzingeri",81.73008,9.75,55.25,65,"too big",26.48008,125.738584615385
"2014-12_Geographe.Bay_stereoBRUVs","218","Pomacentridae","Chromis","klunzingeri",64.4513,9.75,55.25,65,"too big",9.2013,99.1558461538462
"2014-12_Geographe.Bay_stereoBRUVs","218","Labridae","Eupetrichthys","angustipes",139.11087,18.6,105.4,124,"too big",33.71087,112.186185483871
"2014-12_Geographe.Bay_stereoBRUVs","267","Aracanidae","Anoplocapros","amygdaloides",284.04892,45,255,300,"too big",29.04892,94.6829733333333
"2014-12_Geographe.Bay_stereoBRUVs","304","Pomacentridae","Chromis","klunzingeri",81.54469,9.75,55.25,65,"too big",26.29469,125.453369230769
"2014-12_Geographe.Bay_stereoBRUVs","304","Labridae","Pseudolabrus","biserialis",167.30089,25.8,146.2,172,"too big",21.10089,97.2679593023256
"2014-12_Geographe.Bay_stereoBRUVs","304","Labridae","Pseudolabrus","biserialis",169.15965,25.8,146.2,172,"too big",22.95965,98.3486337209302
"2014-12_Geographe.Bay_stereoBRUVs","304","Labridae","Coris","auricularis",378.21244,60,340,400,"too big",38.21244,94.55311
"2014-12_Geographe.Bay_stereoBRUVs","304","Scorpididae","Neatypus","obliquus",234.05276,33,187,220,"too big",47.05276,106.387618181818
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Austrolabrus","maculatus",138.5847,18.825,106.675,125.5,"too big",31.9097,110.426055776892
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",382.7166,60,340,400,"too big",42.7166,95.67915
"2014-12_Geographe.Bay_stereoBRUVs","314","Labridae","Coris","auricularis",340.34158,60,340,400,"too big",0.341580000000022,85.085395
