System #,Left camera,Left card,Right camera,Right card,Rear camera,Rear card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
2,17,220,18,239,1790,44,1,7847e88c-d976-4f9b-9008-671278fbca0a,3/25/2024 9:17:54 AM,Claude.Spencer_UWA,3/25/2024 9:35:43 AM,Claude.Spencer_UWA,115.368243673066,-33.6261845958009
9,31,224,32,223,1799,40,2,a6a7d7bc-46e3-427e-899b-8d3d2b26612d,3/25/2024 9:18:41 AM,Claude.Spencer_UWA,3/25/2024 9:37:01 AM,Claude.Spencer_UWA,115.369132340444,-33.6254215186421
1,15,201,16,214,1789,811,3,018359c3-df80-46f5-a9cb-2a139985fca6,3/25/2024 9:29:30 AM,Claude.Spencer_UWA,3/25/2024 9:36:00 AM,Claude.Spencer_UWA,115.370208085573,-33.6257575062329
3,19,201,20,113,1791,55,4,a569e406-e2a2-49c7-85b3-08df517e1ff3,3/25/2024 9:30:43 AM,Claude.Spencer_UWA,3/25/2024 9:46:11 AM,Claude.Spencer_UWA,115.36740626266,-33.6265665297792
10,33,248,34,242,1800,35,5,98b3558d-78e9-4fce-a99f-549496b1efc9,3/25/2024 9:31:46 AM,Claude.Spencer_UWA,3/25/2024 9:36:45 AM,Claude.Spencer_UWA,115.370323619698,-33.6251304386431
4,21,205,22,231,1792,59,6,d5ae8b25-4d0e-40c7-9d23-64f2a454a332,3/25/2024 9:32:18 AM,Claude.Spencer_UWA,3/25/2024 10:02:01 AM,Claude.Spencer_UWA,115.365848565991,-33.6270009247101
5,23,245,24,223,1793,57,7,21aa4a47-03eb-455f-8309-efd224fc120d,3/25/2024 9:33:48 AM,Claude.Spencer_UWA,3/25/2024 9:49:55 AM,Claude.Spencer_UWA,115.36471923905,-33.6273210921646
6,95,226,96,240,1794,41,8,1ca97183-ba9e-49c1-8a15-e84ce401121d,3/25/2024 9:34:15 AM,Claude.Spencer_UWA,3/25/2024 9:58:02 AM,Claude.Spencer_UWA,115.364683510356,-33.6267053568469
7,27,247,28,228,1797,52,9,91c9847d-3b52-4054-9705-58cc5f2e7591,3/25/2024 9:34:40 AM,Claude.Spencer_UWA,3/25/2024 9:58:21 AM,Claude.Spencer_UWA,115.365901988801,-33.6263777931546
8,29,237,30,221,1798,63,10,a0fea3f1-7db4-4936-96f7-775c2b5f0213,3/25/2024 9:35:11 AM,Claude.Spencer_UWA,3/25/2024 10:04:57 AM,Claude.Spencer_UWA,115.367559974286,-33.6257829921643
1,15,211,16,216,1789,65,11,59376a31-5205-4c65-9add-2bffe933a31a,3/26/2024 8:33:22 AM,Claude.Spencer_UWA,3/26/2024 8:33:22 AM,Claude.Spencer_UWA,115.358166610262,-33.6289959505953
2,17,203,18,218,1790,62,12,3d6e0118-4420-4035-aaf0-d179ffbd06d0,3/26/2024 8:34:11 AM,Claude.Spencer_UWA,3/26/2024 8:34:11 AM,Claude.Spencer_UWA,115.357094643447,-33.6294183036666
3,19,244,20,235,1791,42,13,3aae30e4-1089-4e21-863f-4d7c699bdac1,3/26/2024 8:34:48 AM,Claude.Spencer_UWA,3/26/2024 8:34:48 AM,Claude.Spencer_UWA,115.355893552793,-33.6300445285036
4,21,241,22,246,1792,56,14,2882504f-e996-4212-b0be-fb841d678b14,3/26/2024 8:35:22 AM,Claude.Spencer_UWA,3/26/2024 8:35:22 AM,Claude.Spencer_UWA,115.354274211933,-33.6305557678643
5,23,250,24,225,1793,64,15,0d399c7b-1030-46bb-aade-39aec40da661,3/26/2024 8:35:52 AM,Claude.Spencer_UWA,3/26/2024 8:35:52 AM,Claude.Spencer_UWA,115.352386354752,-33.6314875826872
6,95,219,96,209,1794,66,16,d360cba9-2ea2-4ec4-b61e-eae477a7564c,3/26/2024 8:36:26 AM,Claude.Spencer_UWA,3/26/2024 8:36:26 AM,Claude.Spencer_UWA,115.352240978593,-33.6306910312079
7,27,215,28,202,1797,812,17,9923892a-5c1e-4ac8-b9e7-ef39275647ad,3/26/2024 8:36:44 AM,Claude.Spencer_UWA,3/26/2024 9:09:13 AM,Claude.Spencer_UWA,115.354138721733,-33.6299003065002
8,29,249,30,147,1798,54,18,bbe7850d-ef41-4c22-8765-16f5c3dda924,3/26/2024 8:37:47 AM,Claude.Spencer_UWA,3/26/2024 9:09:41 AM,Claude.Spencer_UWA,115.355783068098,-33.6294311171489
9,31,137,32,148,1799,61,19,7376da52-5fca-41cf-b3a6-0fb697f36211,3/26/2024 8:38:13 AM,Claude.Spencer_UWA,3/26/2024 9:10:15 AM,Claude.Spencer_UWA,115.356995433507,-33.6289323697726
10,33,156,34,163,1800,37,20,361bb38e-0154-4531-90c2-c5fd5521dc99,3/26/2024 8:38:43 AM,Claude.Spencer_UWA,3/26/2024 9:10:41 AM,Claude.Spencer_UWA,115.357828387371,-33.6285783204294
6,95,224,96,226,1794,63,21,55933539-8759-4ef2-8f45-f9eafb4e1732,3/27/2024 8:19:31 AM,Claude.Spencer_UWA,3/27/2024 8:19:31 AM,Claude.Spencer_UWA,115.348099577149,-33.6336679235936
3,19,258,20,237,1791,58,22,edf0c45f-e5ef-41d5-b0dd-7ca00db239cc,3/27/2024 8:39:56 AM,Claude.Spencer_UWA,3/27/2024 8:39:56 AM,Claude.Spencer_UWA,115.34513950971,-33.6333408171885
2,17,201,18,245,1790,41,23,ce83f5f9-f4ff-4f13-aa65-bb70bcc26632,3/27/2024 8:42:49 AM,Claude.Spencer_UWA,3/27/2024 8:42:49 AM,Claude.Spencer_UWA,115.343985951612,-33.6337934050763
5,23,205,24,113,1793,35,24,25c4cc4c-e144-4833-bf3c-156b2ab8a159,3/27/2024 8:44:39 AM,Claude.Spencer_UWA,3/27/2024 8:44:39 AM,Claude.Spencer_UWA,115.347610285475,-33.6327556670982
4,21,221,22,242,1792,44,25,99a4b289-ab88-48fd-a7f4-2cc0681dcbc5,3/27/2024 8:48:16 AM,Claude.Spencer_UWA,3/27/2024 8:48:16 AM,Claude.Spencer_UWA,115.34649514383,-33.6329566245495
7,27,214,28,231,1797,59,26,86e4fe08-447b-4e06-8443-fdff53b96a20,3/27/2024 8:52:03 AM,Claude.Spencer_UWA,3/27/2024 8:52:03 AM,Claude.Spencer_UWA,115.347117009772,-33.6338096419424
8,29,201,30,228,1799,40,27,0f303834-2ee6-47ca-9403-895664dc7f25,3/27/2024 8:58:57 AM,Claude.Spencer_UWA,3/27/2024 8:58:57 AM,Claude.Spencer_UWA,115.345212060347,-33.6341896924846
9,31,223,32,247,1799,39,28,adac8300-9b78-4bc5-b742-9135baee4b48,3/27/2024 9:11:47 AM,Claude.Spencer_UWA,3/27/2024 9:11:47 AM,Claude.Spencer_UWA,115.344135208494,-33.6346178838244
