Sample,Family,Genus,Species,Count,Length
MF-CNB1-2,Dasyatidae,Dasyatis,brevicaudata,1,814.6698
MF-INB1-4,Dasyatidae,Dasyatis,brevicaudata,1,864.0041
MF-WC095,Rhinobatidae,Trygonorrhina,fasciata,1,868.0532
MF-WC080,Dasyatidae,Dasyatis,brevicaudata,1,872.217
MF-INB2-1,Carangidae,Seriola,hippos,1,885.5415
MF-CNB1-5,Dasyatidae,Dasyatis,brevicaudata,1,888.1122
MF-WC069,Rhinobatidae,Trygonorrhina,fasciata,1,894.3582
MF-CNB2-4,Orectolobidae,Orectolobus,maculatus,1,895.3868
MF-INB1-2,Dasyatidae,Dasyatis,brevicaudata,1,905.9096
MF-WC090,Dasyatidae,Dasyatis,brevicaudata,1,906.0184
MF-WC111,Carangidae,Seriola,hippos,1,909.1456
MF-WC008,Sparidae,Pagrus,auratus,1,913.7307
MF-CNB3-1,Labridae,Achoerodus,gouldii,1,915.5629
MF-WC087,Rhinobatidae,Trygonorrhina,fasciata,1,916.381
MF-WC104,Rhinobatidae,Trygonorrhina,fasciata,1,929.4913
MF-WC094,Dasyatidae,Dasyatis,brevicaudata,1,958.0148
MF-INB7-2,Orectolobidae,Orectolobus,maculatus,1,958.556
MF-WC115,Rhinobatidae,Trygonorrhina,fasciata,1,964.6992
MF-WC002,Labridae,Coris,auricularis,1,214.5138
MF-WC002,Labridae,Coris,auricularis,1,255.4568
MF-WC002,Labridae,Coris,auricularis,1,275.8483
MF-WC002,Labridae,Coris,auricularis,1,316.076
MF-INB1-5,Carangidae,Seriola,hippos,1,971.7687
MF-WC002,Scorpididae,Neatypus,obliquus,1,71.5368
MF-WC002,Scorpididae,Neatypus,obliquus,1,78.2779
MF-WC002,Scorpididae,Neatypus,obliquus,1,87.3145
MF-WC002,Scorpididae,Neatypus,obliquus,1,91.949
MF-WC002,Scorpididae,Neatypus,obliquus,1,101.9414
MF-WC002,Labridae,Ophthalmolepis,lineolatus,1,130.9262
MF-WC002,Labridae,Ophthalmolepis,lineolatus,1,199.1704
MF-WC002,Labridae,Ophthalmolepis,lineolatus,1,204.8821
MF-WC002,Labridae,Ophthalmolepis,lineolatus,1,223.0665
MF-WC002,Gerreidae,Parequula,melbournensis,1,125.9073
MF-WC003,Serranidae,Caesioperca,sp,1,84.1785
MF-WC003,Serranidae,Caesioperca,sp,1,108.4932
MF-WC003,Serranidae,Caesioperca,sp,1,125.8341
MF-WC003,Serranidae,Caesioperca,sp,1,131.2075
MF-WC003,Serranidae,Caesioperca,sp,1,141.8619
MF-WC003,Serranidae,Caesioperca,sp,1,147.9624
MF-WC003,Labridae,Cirrhilabrus,temminckii,1,161.7927
MF-WC003,Labridae,Coris,auricularis,1,98.4453
MF-WC003,Labridae,Coris,auricularis,1,104.1579
MF-WC003,Labridae,Coris,auricularis,1,105.8131
MF-WC003,Labridae,Coris,auricularis,1,118.5459
MF-WC003,Labridae,Coris,auricularis,1,120.1
MF-WC003,Labridae,Coris,auricularis,1,124.3704
MF-WC003,Labridae,Coris,auricularis,1,131.1375
MF-WC003,Labridae,Coris,auricularis,1,134.6587
MF-WC003,Labridae,Coris,auricularis,1,141.5576
MF-WC003,Labridae,Coris,auricularis,1,143.6538
MF-WC003,Labridae,Coris,auricularis,1,151.1552
MF-WC003,Labridae,Coris,auricularis,1,153.0139
MF-WC003,Labridae,Coris,auricularis,1,154.5029
MF-WC003,Labridae,Coris,auricularis,1,157.2703
MF-WC003,Labridae,Coris,auricularis,1,157.4946
MF-WC003,Labridae,Coris,auricularis,1,167.352
MF-WC003,Labridae,Coris,auricularis,1,169.9125
MF-WC003,Labridae,Coris,auricularis,1,177.6934
MF-WC003,Labridae,Coris,auricularis,1,186.364
MF-WC003,Labridae,Coris,auricularis,1,345.7145
MF-WC003,Myliobatidae,Myliobatis,australis,1,704.4227
MF-WC003,Myliobatidae,Myliobatis,australis,1,763.9545
MF-WC003,Labridae,Ophthalmolepis,lineolatus,1,155.0376
MF-WC003,Labridae,Ophthalmolepis,lineolatus,1,241.8479
MF-WC003,Gerreidae,Parequula,melbournensis,1,122.3547
MF-WC003,Scorpididae,Tilodon,sexfasciatus,1,399.686
MF-WC003,Mullidae,Upeneichthys,vlamingii,1,125.0367
MF-WC003,Mullidae,Upeneichthys,vlamingii,1,144.2699
MF-WC003,Mullidae,Upeneichthys,vlamingii,1,146.5504
MF-WC003,Mullidae,Upeneichthys,vlamingii,1,282.5983
MF-WC004,Labridae,Coris,auricularis,1,117.2998
MF-WC004,Labridae,Coris,auricularis,1,127.7626
MF-WC004,Myliobatidae,Myliobatis,australis,1,576.8689
MF-WC004,Myliobatidae,Myliobatis,australis,1,693.9012
MF-WC004,Platycephalidae,Platycephalus,spp,1,130.542
MF-WC004,Carangidae,Pseudocaranx,spp,1,88.8221
MF-WC004,Sillaginidae,Sillaginodes,punctata,1,142.6764
MF-WC004,Sillaginidae,Sillaginodes,punctata,1,152.5684
MF-WC004,Rhinobatidae,Trygonorrhina,fasciata,1,773.3077
MF-WC005,Aplodactylidae,Aplodactylus,westralis,1,467.1773
MF-WC005,Labridae,Bodianus,frenchii,1,237.5545
MF-WC005,Serranidae,Caesioperca,rasor,1,190.4534
MF-WC005,Serranidae,Caesioperca,rasor,1,203.9473
MF-WC005,Serranidae,Caesioperca,rasor,1,98.1117
MF-WC005,Serranidae,Caesioperca,rasor,1,112.0342
MF-WC005,Serranidae,Caesioperca,rasor,1,131.73
MF-WC005,Serranidae,Caesioperca,sp,1,150.1801
MF-WC005,Chaetodontidae,Chelmonops,curiosus,1,196.2995
MF-WC005,Pomacentridae,Chromis,klunzingeri,1,65.9467
MF-WC005,Pomacentridae,Chromis,klunzingeri,1,67.9825
MF-WC005,Pomacentridae,Chromis,klunzingeri,1,80.6986
MF-WC005,Pomacentridae,Chromis,klunzingeri,1,81.4493
MF-WC005,Pomacentridae,Chromis,klunzingeri,1,86.2554
MF-WC005,Labridae,Coris,auricularis,1,138.2805
MF-WC005,Enoplosidae,Enoplosus,armatus,1,128.591
MF-WC005,Enoplosidae,Enoplosus,armatus,1,152.4543
MF-WC005,Monacanthidae,Meuschenia,galii,1,275.4241
MF-WC005,Monacanthidae,Meuschenia,hippocrepis,1,274.4847
MF-WC005,Monacanthidae,Meuschenia,hippocrepis,1,319.1506
MF-WC005,Monacanthidae,Meuschenia,hippocrepis,1,333.5155
MF-WC005,Scorpididae,Neatypus,obliquus,1,176.7266
MF-WC005,Scorpididae,Neatypus,obliquus,1,194.8881
MF-WC005,Scorpididae,Neatypus,obliquus,1,196.7247
MF-WC005,Scorpididae,Neatypus,obliquus,1,201.0819
MF-WC005,Cheilodactylidae,Nemadactylus,valenciennesi,1,350.5318
MF-WC005,Labridae,Notolabrus,parilus,1,295.8345
MF-WC005,Labridae,Ophthalmolepis,lineolatus,1,140.8753
MF-WC005,Labridae,Ophthalmolepis,lineolatus,1,143.5583
MF-WC005,Labridae,Ophthalmolepis,lineolatus,1,189.1097
MF-WC005,Labridae,Ophthalmolepis,lineolatus,1,197.7821
MF-WC005,Carangidae,Pseudocaranx,spp,1,236.4406
MF-WC005,Carangidae,Pseudocaranx,spp,1,239.7734
MF-WC005,Carangidae,Pseudocaranx,spp,1,245.6552
MF-WC005,Carangidae,Pseudocaranx,spp,1,251.9314
MF-WC005,Carangidae,Pseudocaranx,spp,1,260.2376
MF-WC005,Carangidae,Pseudocaranx,spp,1,262.1979
MF-WC005,Carangidae,Pseudocaranx,spp,1,274.0657
MF-WC005,Carangidae,Pseudocaranx,spp,1,274.5627
MF-WC005,Carangidae,Pseudocaranx,spp,1,274.9196
MF-WC005,Carangidae,Pseudocaranx,spp,1,277.7908
MF-WC005,Carangidae,Pseudocaranx,spp,1,286.2618
MF-WC005,Carangidae,Pseudocaranx,spp,1,288.2804
MF-WC005,Carangidae,Pseudocaranx,spp,1,290.7267
MF-WC005,Carangidae,Pseudocaranx,spp,1,296.217
MF-WC005,Carangidae,Pseudocaranx,spp,1,296.8338
MF-WC005,Carangidae,Pseudocaranx,spp,1,303.3578
MF-WC005,Carangidae,Pseudocaranx,spp,1,308.0321
MF-WC005,Carangidae,Pseudocaranx,spp,1,308.5817
MF-WC005,Carangidae,Pseudocaranx,spp,1,310.2737
MF-WC005,Carangidae,Pseudocaranx,spp,1,319.1942
MF-WC005,Carangidae,Pseudocaranx,spp,1,319.4231
MF-WC005,Carangidae,Pseudocaranx,spp,1,325.3153
MF-WC005,Carangidae,Pseudocaranx,spp,1,326.2389
MF-WC005,Carangidae,Pseudocaranx,spp,1,327.2075
MF-WC005,Carangidae,Pseudocaranx,spp,1,329.9478
MF-WC005,Carangidae,Pseudocaranx,spp,1,332.0547
MF-WC005,Carangidae,Pseudocaranx,spp,1,343.1828
MF-WC005,Carangidae,Pseudocaranx,spp,1,352.4417
MF-WC005,Carangidae,Pseudocaranx,spp,1,380.0442
MF-WC005,Carangidae,Pseudocaranx,spp,1,487.6028
MF-WC005,Labridae,Pseudolabrus,biserialis,1,117.1302
MF-WC005,Labridae,Pseudolabrus,biserialis,1,142.7029
MF-WC005,Labridae,Pseudolabrus,biserialis,1,170.1203
MF-WC005,Scorpididae,Tilodon,sexfasciatus,1,300.8184
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,26.0011
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,49.5886
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,50.2589
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,84.037
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,93.0476
MF-WC005,Plesiopidae,Trachinops,noarlungae,1,102.9168
MF-WC007,Serranidae,Caesioperca,sp,1,83.3103
MF-WC007,Serranidae,Caesioperca,sp,1,149.4566
MF-WC007,Serranidae,Caesioperca,sp,1,150.461
MF-WC007,Serranidae,Caesioperca,sp,1,154.0507
MF-WC007,Serranidae,Caesioperca,sp,1,166.0579
MF-WC007,Serranidae,Caesioperca,sp,1,309.7883
MF-WC007,Labridae,Coris,auricularis,1,132.6649
MF-WC007,Labridae,Coris,auricularis,1,165.7229
MF-WC007,Labridae,Coris,auricularis,1,169.7854
MF-WC007,Labridae,Coris,auricularis,1,176.1005
MF-WC007,Labridae,Coris,auricularis,1,178.1496
MF-WC007,Labridae,Coris,auricularis,1,254.9097
MF-WC007,Labridae,Coris,auricularis,1,289.498
MF-WC007,Diodontidae,Diodon,nicthemerus,1,173.9573
MF-WC007,Myliobatidae,Myliobatis,australis,1,613.799116076935
MF-WC007,Labridae,Ophthalmolepis,lineolatus,1,113.131
MF-WC007,Labridae,Ophthalmolepis,lineolatus,1,134.8335
MF-WC007,Labridae,Ophthalmolepis,lineolatus,1,168.9627
MF-WC007,Labridae,Ophthalmolepis,lineolatus,1,179.4698
MF-WC007,Labridae,Ophthalmolepis,lineolatus,1,245.6217
MF-WC007,Gerreidae,Parequula,melbournensis,1,205.5832
MF-WC007,Platycephalidae,Platycephalus,spp,1,291.5849
MF-WC007,Carangidae,Pseudocaranx,spp,1,261.0153
MF-WC007,Carangidae,Pseudocaranx,spp,1,265.8009
MF-WC007,Carangidae,Pseudocaranx,spp,1,267.3517
MF-WC007,Carangidae,Pseudocaranx,spp,1,268.0786
MF-WC007,Carangidae,Pseudocaranx,spp,1,271.9165
MF-WC007,Carangidae,Pseudocaranx,spp,1,279.328
MF-WC007,Carangidae,Pseudocaranx,spp,1,285.0291
MF-WC007,Carangidae,Pseudocaranx,spp,1,288.322
MF-WC007,Carangidae,Pseudocaranx,spp,1,306.5964
MF-WC007,Carangidae,Pseudocaranx,spp,1,372.0282
MF-WC007,Mullidae,Upeneichthys,vlamingii,1,171.1394
MF-WC008,Labridae,Coris,auricularis,1,78.3403
MF-WC008,Labridae,Coris,auricularis,1,78.9505
MF-WC008,Labridae,Coris,auricularis,1,90.3485
MF-WC008,Labridae,Coris,auricularis,1,94.8336
MF-WC008,Labridae,Coris,auricularis,1,102.1957
MF-WC008,Labridae,Coris,auricularis,1,103.0842
MF-WC008,Labridae,Coris,auricularis,1,105.7717
MF-WC008,Labridae,Coris,auricularis,1,134.8814
MF-WC008,Labridae,Coris,auricularis,1,135.0446
MF-WC008,Labridae,Coris,auricularis,1,136.4235
MF-WC008,Labridae,Coris,auricularis,1,149.4129
MF-WC008,Labridae,Coris,auricularis,1,156.6902
MF-WC008,Labridae,Coris,auricularis,1,160.854
MF-WC008,Labridae,Coris,auricularis,1,182.9657
MF-WC008,Labridae,Coris,auricularis,1,184.5315
MF-WC008,Labridae,Coris,auricularis,1,222.0397
MF-WC008,Labridae,Coris,auricularis,1,260.7192
MF-WC008,Labridae,Coris,auricularis,1,353.8269
MF-WC008,Dasyatidae,Dasyatis,brevicaudata,1,769.1926
MF-WC008,Muraenidae,Gymnothorax,prasinus,1,631.2596
MF-WC008,Labridae,Ophthalmolepis,lineolatus,1,144.8191
MF-WC008,Labridae,Ophthalmolepis,lineolatus,1,146.949
MF-WC008,Labridae,Ophthalmolepis,lineolatus,1,170.5088
MF-WC008,Sparidae,Pagrus,auratus,1,579.668
MF-INB2-1,Carangidae,Seriola,hippos,1,973.4612
MF-WC008,Sparidae,Pagrus,auratus,1,230.9405
MF-WC008,Platycephalidae,Platycephalus,spp,1,327.1486
MF-WC010,Labridae,Austrolabrus,maculatus,1,61.6798
MF-WC010,Labridae,Austrolabrus,maculatus,1,88.6403
MF-WC010,Labridae,Coris,auricularis,1,153.7511
MF-WC010,Labridae,Coris,auricularis,1,174.7166
MF-WC010,Labridae,Coris,auricularis,1,237.6369
MF-WC010,Labridae,Coris,auricularis,1,369.1226
MF-WC010,Labridae,Eupetrichthys,angustipes,1,82.2931
MF-WC010,Labridae,Ophthalmolepis,lineolatus,1,64.4932
MF-WC010,Labridae,Ophthalmolepis,lineolatus,1,81.4694
MF-WC010,Gerreidae,Parequula,melbournensis,1,140.327
MF-WC010,Gerreidae,Parequula,melbournensis,1,155.7859
MF-WC010,Rhinobatidae,Trygonorrhina,fasciata,1,608.7803
MF-WC010,Mullidae,Upeneichthys,vlamingii,1,60.248
MF-WC013,Labridae,Bodianus,frenchii,1,295.5307
MF-WC013,Labridae,Coris,auricularis,1,308.8663
MF-WC013,Labridae,Coris,auricularis,1,347.5115
MF-WC013,Kyphosidae,Girella,zebra,1,350.6128
MF-WC013,Monacanthidae,Meuschenia,galii,1,229.9483
MF-WC013,Monacanthidae,Meuschenia,hippocrepis,1,189.0609
MF-WC013,Myliobatidae,Myliobatis,australis,1,600.4865
MF-WC013,Myliobatidae,Myliobatis,australis,1,681.9345
MF-WC013,Labridae,Notolabrus,parilus,1,276.5513
MF-WC013,Odacidae,Odax,cyanomelas,1,238.0818
MF-WC013,Odacidae,Odax,cyanomelas,1,361.9367
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,189.0226
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,189.4427
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,201.9648
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,203.147
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,206.7366
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,212.5634
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,250.7095
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,252.9119
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,258.3137
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,306.844
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,328.1446
MF-WC013,Labridae,Ophthalmolepis,lineolatus,1,335.2575
MF-WC013,Serranidae,Othos,dentex,1,387.1929
MF-WC013,Pomacentridae,Parma,victoriae,1,184.3368
MF-WC013,Labridae,Pictilabrus,laticlavius,1,171.9423
MF-WC013,Labridae,Pictilabrus,laticlavius,1,199.1117
MF-WC013,Carangidae,Pseudocaranx,spp,1,343.0579
MF-WC013,Labridae,Pseudolabrus,biserialis,1,97.9445
MF-WC013,Labridae,Pseudolabrus,biserialis,1,100.9886
MF-WC013,Labridae,Pseudolabrus,biserialis,1,181.8481
MF-WC016,Myliobatidae,Myliobatis,australis,1,319.7204
MF-WC016,Platycephalidae,Platycephalus,spp,1,176.5518
MF-WC016,Platycephalidae,Platycephalus,spp,1,198.3847
MF-WC016,Platycephalidae,Platycephalus,spp,1,214.7285
MF-WC016,Platycephalidae,Platycephalus,spp,1,264.2754
MF-WC016,Platycephalidae,Platycephalus,spp,1,292.2606
MF-WC017,Gerreidae,Parequula,melbournensis,1,121.2905
MF-WC017,Platycephalidae,Platycephalus,spp,1,198.2804
MF-WC017,Platycephalidae,Platycephalus,spp,1,282.4365
MF-WC017,Urolophidae,Trygonoptera,mucosa,1,200.5042
MF-WC020,Labridae,Achoerodus,gouldii,1,534.2875
MF-WC020,Aulopidae,Aulopus,purpurissatus,1,450.6216
MF-WC020,Serranidae,Caesioperca,rasor,1,129.3697
MF-WC020,Labridae,Coris,auricularis,1,123.7474
MF-WC020,Labridae,Coris,auricularis,1,320.303
MF-INB7-2,Myliobatidae,Myliobatis,australis,1,976.9952
MF-WC020,Heterodontidae,Heterodontus,portusjacksoni,1,471.8773
MF-WC020,Heterodontidae,Heterodontus,portusjacksoni,1,797.8962
MF-WC020,Monacanthidae,Meuschenia,flavolineata,1,280.8982
MF-WC020,Monacanthidae,Meuschenia,flavolineata,1,311.7606
MF-WC020,Monacanthidae,Meuschenia,hippocrepis,1,343.7264
MF-WC020,Cheilodactylidae,Nemadactylus,valenciennesi,1,419.4827
MF-WC020,Labridae,Notolabrus,parilus,1,199.5643
MF-WC020,Labridae,Notolabrus,parilus,1,316.2219
MF-WC020,Odacidae,Odax,cyanomelas,1,449.2347
MF-WC020,Labridae,Ophthalmolepis,lineolatus,1,146.5827
