OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
100	0	100_R22.avi	2723	100_L21.avi	2465	1.51429		-1.00000																	sync		
10003	0	10003_L21.avi	1780	10003_R22.avi	4141	0.98988		-1.00000																	sync		
10005	4	100005_L21.avi	19597	100005_R22.avi	19358	10.89812	Time Seabed	9.46168	552.16745	-503.85486	-6062.03054	4.73452	4.38964	45.35721	7.10774	6107.94343	7.18579	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
10005	9	100005_L21.avi	55258	100005_R22.avi	55019	30.72962	Time Seabed	29.29318	6.93642	-114.74615	-1808.87111	0.79150	0.81759	4.19004	0.91916	1812.52020	3.86472	Carangidae	Pseudocaranx	spp		2	AD	Passing			
10005	19	100005_L21.avi	57096	100005_R22.avi	56857	31.75175	Time Seabed	30.31532	-1442.06696	-563.19326	-4750.59742	8.31215	3.72584	27.73927	14.46899	4996.49073	18.13439	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
10005	21	100005_L21.avi	58658	100005_R22.avi	58419	32.62040	Time Seabed	31.18396	1385.46950	-504.57525	-2809.54817	4.44540	1.98593	9.32625	0.42628	3172.96121	27.77018	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
107	0	107_L15.avi	2032	107_R16.avi	2662	1.13002		-1.00000																	sync		
108	0	108_L5.avi	2213	108_R6.avi	2485	1.23068		-1.00000																	sync		
113	2	113_L19.avi	11331	113_R20.avi	10631	6.30130	Time Seabed	2.64320	-0.03298	-177.26542	-603.75132	0.27323	0.29692	0.48247	8.21507	629.23659	16.88504	Platycephalidae	Platycephalus	spp		1	AD	Passing			
11R2	0	11R2_L11.avi	8275	11R2_R12.avi	7883	4.60182	1	0.00000																	sync		
11R3	0	11R3_L9.avi	6953	11R3_R10.avi	6343	3.86664	1	0.00000																	sync		
11R4	0	11R4_L19 all good.avi	1240	11R4_R20_all good.avi	1047	0.68958		-1.00000																	sync		
12RC9	0	12RC9_L15.avi	663	12RC9_R16.avi	1106	0.36870		-1.00000																	sync		
13RC13	4	13RC13_L21.avi	25623	13RC13_R22.avi	25872	14.24925	P1	8.52797	-46.16548	-146.08546	-1614.73620	0.71513	0.75349	3.35683	3.52775	1621.98804	5.63859	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
13RC13	16	13RC13_L21.avi	82011	13RC13_R22.avi	82260	45.60727	P1	39.88600	-201.89336	-195.39292	-1625.92652	0.80904	0.80079	3.39919	0.73699	1650.02314	9.96440	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
13RC13	19	13RC13_L21.avi	107487	13RC13_R22.avi	107736	59.77477	P1	54.05350	-2001.10198	39.12319	-7042.01242	17.00905	3.03052	60.68336	16.92142	7320.92062	15.86337	Sparidae	Pagrus	auratus		1	AD	Passing			
2	0	2_L15.avi	1588	2_R16.avi	1346	0.88311		-1.00000																	sync		
442	2	442_L19.avi	8921	442_R20.avi	9530	4.96107	P1	3.70426	-487.90172	-336.36733	-1151.97183	0.79699	0.65963	1.61302	2.02600	1295.46523	27.52249	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
442	7	442_L19.avi	49242	442_R20.avi	49851	27.38405	P1	26.12724	-92.94097	-220.04974	-1030.06623	0.47290	0.52393	1.37634	2.58094	1057.40076	13.53889	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
442	8	442_L19.avi	49242	442_R20.avi	49851	27.38405	P1	26.12724	-163.57613	-234.88507	-1074.49967	0.51945	0.55447	1.48607	9.21240	1111.97019	15.34793	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
442	9	442_L19.avi	49372	442_R20.avi	49981	27.45635	P1	26.19953	-181.58122	-186.56566	-1062.73338	0.52322	0.51672	1.45253	3.42642	1094.15754	14.14394	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Passing			
442	10	442_L19.avi	65813	442_R20.avi	66422	36.59938	P1	35.34256	-333.99787	25.97420	-1007.54969	0.58734	0.43549	1.27280	5.21085	1061.78417	18.35839	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
442	11	442_L19.avi	65813	442_R20.avi	66422	36.59938	P1	35.34256	-121.97326	42.72607	-818.27666	0.38682	0.36158	0.87032	1.35975	828.42000	8.81622	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
442	12	442_L19.avi	65820	442_R20.avi	66429	36.60327	P1	35.34646	-489.88486	-234.83748	-1515.77024	1.06799	0.76274	2.85100	3.99909	1610.18485	19.94926	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
442	13	442_L19.avi	71603	442_R20.avi	72212	39.81926	P1	38.56245	-288.81312	-268.46116	-907.06622	0.50072	0.48392	1.03209	2.57358	989.06700	23.85389	Carangidae	Pseudocaranx	spp		1	AD	Passing			
442	14	442_L19.avi	72590	442_R20.avi	73199	40.36815	P1	39.11133	-171.10233	53.67541	-1153.67569	0.56120	0.50875	1.71040	12.96120	1167.52929	8.69299	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
442	15	442_L19.avi	78422	442_R20.avi	79031	43.61139	P1	42.35458	-129.90097	-137.35710	-946.76155	0.44778	0.43985	1.16261	0.00348	965.45257	11.67758	Labridae	Coris	auricularis	37384088	1	F	Passing			
442	16	442_L19.avi	81328	442_R20.avi	81937	45.22745	P1	43.97064	-165.58810	58.06351	-1173.20617	0.56744	0.51857	1.76885	0.06682	1186.25609	8.34809	Rhinobatidae	Trygonorrhina	dumerilii		1	AD	Passing			
442	17	442_L19.avi	81328	442_R20.avi	81937	45.22745	P1	43.97064	-428.99479	-48.00065	-1494.62734	0.97965	0.64258	2.79338	2.53149	1555.71575	16.17576	Rhinobatidae	Trygonorrhina	dumerilii		1	AD	Passing			
442	18	442_L19.avi	86469	442_R20.avi	87078	48.08642	P1	46.82961	142.20369	-241.01485	-749.96213	0.35861	0.39616	0.74302	10.10102	800.47064	20.91403	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
442	19	442_L19.avi	86469	442_R20.avi	87078	48.08642	P1	46.82961	13.10483	-303.33922	-963.52630	0.42970	0.55020	1.21137	15.30300	1010.23233	18.01243	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
442	20	442_L19.avi	86469	442_R20.avi	87078	48.08642	P1	46.82961	-385.13322	-105.71774	-1365.28556	0.84707	0.60583	2.34016	1.81112	1422.50079	16.45129	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
442	21	442_L19.avi	86469	442_R20.avi	87078	48.08642	P1	46.82961	-939.06386	-336.31760	-1826.69368	2.01809	1.01723	3.93051	3.09205	2081.28812	28.81689	Labridae	Ophthalmolepis	lineolatus	37384040	1	F	Passing			
442	22	442_L19.avi	97962	442_R20.avi	98571	54.47781	P1	53.22100	-795.97590	-146.48977	-1640.92414	1.59178	0.73271	3.21047	3.39817	1829.66361	26.35285	Scyliorhinidae	Aulohalaelurus	labiosus	37015029	1	AD	Passing			
442	23	442_L19.avi	104317	442_R20.avi	104926	58.01190	P1	56.75509	-757.81902	-84.41433	-1671.48476	1.57079	0.71600	3.35913	7.66668	1837.19263	24.58474	Myliobatidae	Myliobatis	australis		1	AD	Passing			
442	24	442_L19.avi	108896	442_R20.avi	109505	60.55834	P1	59.30152	-846.25332	-204.46511	-1722.46628	1.75430	0.81440	3.52666	1.13475	1929.98465	26.94100	Labridae	Coris	auricularis	37384088	1	F	Passing			
442	25	442_L19.avi	108898	442_R20.avi	109507	60.55945	P1	59.30264	-1071.93061	-857.23044	-2995.04844	3.86172	3.20615	10.81667	8.52927	3294.57045	24.95006	Labridae	Coris	auricularis	37384088	1	F	Passing			
