OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
100	0	0	1374.65347	722.37624	604.75248	736.63366
100	1	0	1373.46535	722.37624	604.75248	736.63366
10003	0	0	1251.49310	668.22742	686.57465	639.33110
10005	0	0	1650.29486	986.00746	1340.22141	970.49254
10005	0	1	1568.69990	995.74627	1244.85939	979.22388
10005	1	0	1777.70409	763.68657	1849.23820	742.68657
10005	1	1	1673.61175	742.19403	1746.48898	724.88806
10005	2	0	1543.86674	992.38806	1463.52361	987.67164
10005	2	1	1621.09654	937.31343	1555.52781	933.60448
10005	3	0	912.49108	1008.47015	768.46905	986.67910
10005	3	1	847.01364	1021.56716	691.57503	995.74627
10005	4	0	992.55509	685.04478	1282.99370	675.38806
10005	5	0	1358.99685	692.11194	1527.33998	673.58209
10005	5	1	1482.56453	667.93284	1658.29486	643.35821
10005	6	0	1419.72718	764.72388	1657.15635	753.01493
10005	6	1	1549.67471	772.44776	1817.32424	764.76866
10005	7	0	1088.42812	739.62687	962.21721	721.53731
10005	7	1	1150.21196	758.76866	1024.67261	737.32090
10005	8	0	1061.56558	716.45522	914.87198	697.02239
10005	8	1	1123.01364	729.88806	983.37146	709.78358
10005	9	0	1067.78594	654.85075	916.68416	638.73134
10005	10	0	764.49423	724.83582	22.49738	703.20149
10005	10	1	914.58867	737.26119	163.18993	710.25373
10005	11	0	896.12172	820.78358	183.15110	788.03731
10005	11	1	993.16264	799.29104	332.57398	773.93284
10005	12	0	845.28856	612.87313	119.41133	595.26866
10005	12	1	996.05456	633.35821	228.54040	609.03731
10005	13	0	712.28856	647.54478	22.16159	633.26866
10005	13	1	850.63064	678.44030	158.48898	659.46269
10005	14	0	864.92550	707.33582	224.26128	687.17164
10005	14	1	994.87303	707.00000	356.55929	684.14925
10005	15	0	791.62434	827.95522	21.82581	800.73881
10005	15	1	935.67471	851.79851	171.58447	815.51493
10005	16	0	743.27177	870.26866	6.71563	841.70896
10005	16	1	884.97167	905.19403	135.32004	868.23881
10005	17	0	808.32529	777.08955	14.43861	750.76866
10005	17	1	956.40504	775.74627	154.12382	749.42537
10005	18	0	1557.89612	778.66418	1815.57188	767.24627
10005	18	1	1625.72403	785.04478	1901.53200	773.96269
