campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032459_165_FC16.png,-33.350747,115.1121704,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032459_665_FC16.png,-33.3507498,115.1121686,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032500_165_FC16.png,-33.3507526,115.1121668,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032500_665_FC16.png,-33.3507551,115.1121652,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032501_165_FC16.png,-33.3507578,115.1121635,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032501_665_FC16.png,-33.3507603,115.1121619,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032502_165_FC16.png,-33.350763,115.1121601,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032502_665_FC16.png,-33.3507656,115.1121583,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032503_165_FC16.png,-33.3507681,115.1121567,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032503_665_FC16.png,-33.3507705,115.1121555,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032504_165_FC16.png,-33.3507736,115.1121542,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032504_665_FC16.png,-33.3507771,115.112152,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032505_165_FC16.png,-33.3507805,115.1121503,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032505_665_FC16.png,-33.3507844,115.1121477,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032506_165_FC16.png,-33.3507876,115.1121454,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032506_665_FC16.png,-33.3507908,115.1121439,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032507_165_FC16.png,-33.3507942,115.1121422,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032507_665_FC16.png,-33.3507975,115.1121405,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032508_165_FC16.png,-33.3508007,115.1121392,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032508_665_FC16.png,-33.3508043,115.1121383,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032509_165_FC16.png,-33.3508077,115.1121374,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032509_665_FC16.png,-33.3508109,115.1121363,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032510_165_FC16.png,-33.3508141,115.1121354,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032510_665_FC16.png,-33.3508171,115.1121342,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032511_165_FC16.png,-33.3508203,115.1121329,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032511_665_FC16.png,-33.3508235,115.1121314,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032512_165_FC16.png,-33.3508268,115.1121296,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032512_665_FC16.png,-33.3508302,115.1121273,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032513_165_FC16.png,-33.350834,115.1121247,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032513_665_FC16.png,-33.3508381,115.1121218,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032514_165_FC16.png,-33.3508421,115.1121185,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032514_665_FC16.png,-33.3508463,115.1121147,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032515_165_FC16.png,-33.3508506,115.1121109,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032515_665_FC16.png,-33.3508549,115.1121069,,1388,1038
,,,,,,,
