Time,Time on GPS Adjusted to remove rounding error,Time correction for Layback,Corrected time,Rounded to nearest second,Transect,Long,Lat,Matched_image_name,Date-time,Speed,Unknown2,Date,NA,Unknown3,Unknown4,Date,
09:05:56,09:05:56,#N/A,#N/A,#N/A,NA,115.2341333,33.593565,#N/A,5/20/2020 9:05,2.82,269.89,200520,NA,NA,D*76,200520,1
09:05:57,09:05:57,#N/A,#N/A,#N/A,NA,115.2341167,33.593565,#N/A,5/20/2020 9:05,3.23,271.75,200520,NA,NA,D*78,200520,2
09:05:59,09:05:58,#N/A,#N/A,#N/A,NA,115.2341,33.59356333,#N/A,5/20/2020 9:05,3.4,272.72,200520,NA,NA,D*76,200520,3
09:05:59,09:05:59,#N/A,#N/A,#N/A,NA,115.2340817,33.59356167,#N/A,5/20/2020 9:05,3.36,273.98,200520,NA,NA,D*77,200520,4
09:06:00,09:06:00,#N/A,#N/A,#N/A,NA,115.2340667,33.59356167,#N/A,5/20/2020 9:06,2.89,273.42,200520,NA,NA,D*74,200520,5
09:06:01,09:06:01,#N/A,#N/A,#N/A,NA,115.23405,33.59356167,#N/A,5/20/2020 9:06,2.63,272.71,200520,NA,NA,D*77,200520,6
09:06:02,09:06:02,#N/A,#N/A,#N/A,NA,115.234035,33.59355833,#N/A,5/20/2020 9:06,3.02,271.54,200520,NA,NA,D*74,200520,7
09:06:03,09:06:03,#N/A,#N/A,#N/A,NA,115.23402,33.59355667,#N/A,5/20/2020 9:06,2.95,271.62,200520,NA,NA,D*7E,200520,8
09:06:04,09:06:04,#N/A,#N/A,#N/A,NA,115.234005,33.593555,#N/A,5/20/2020 9:06,2.95,273.05,200520,NA,NA,D*7D,200520,9
09:06:05,09:06:05,#N/A,#N/A,#N/A,NA,115.2339883,33.59355167,#N/A,5/20/2020 9:06,3,274.48,200520,NA,NA,D*73,200520,10
09:06:06,09:06:06,#N/A,#N/A,#N/A,NA,115.2339733,33.59355,#N/A,5/20/2020 9:06,2.69,276.33,200520,NA,NA,D*77,200520,11
09:06:07,09:06:07,#N/A,#N/A,#N/A,NA,115.2339583,33.59354667,#N/A,5/20/2020 9:06,3.3,277.44,200520,NA,NA,D*7D,200520,12
09:06:08,09:06:08,#N/A,#N/A,#N/A,NA,115.2339417,33.593545,#N/A,5/20/2020 9:06,2.87,278.39,200520,NA,NA,D*74,200520,13
09:06:09,09:06:09,#N/A,#N/A,#N/A,NA,115.233925,33.59354167,#N/A,5/20/2020 9:06,2.89,278.22,200520,NA,NA,D*70,200520,14
09:06:10,09:06:10,#N/A,#N/A,#N/A,NA,115.23391,33.59354,#N/A,5/20/2020 9:06,2.83,278.29,200520,NA,NA,D*7D,200520,15
09:06:11,09:06:11,#N/A,#N/A,#N/A,NA,115.233895,33.59353833,#N/A,5/20/2020 9:06,2.4,277.85,200520,NA,NA,D*7B,200520,16
09:06:12,09:06:12,#N/A,#N/A,#N/A,NA,115.2338783,33.59353833,#N/A,5/20/2020 9:06,2.37,277.49,200520,NA,NA,D*79,200520,17
09:06:13,09:06:13,#N/A,#N/A,#N/A,NA,115.2338633,33.59353667,#N/A,5/20/2020 9:06,2.42,277.07,200520,NA,NA,D*7D,200520,18
09:06:14,09:06:14,#N/A,#N/A,#N/A,NA,115.2338467,33.593535,#N/A,5/20/2020 9:06,2.7,281.82,200520,NA,NA,D*7D,200520,19
