"campaignid","sample","filename","period","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","1","1_L13.avi","1","0.00278","Ostraciidae","Anoplocapros","amygdaloides",1,-33.3635,115.2142,"10/12/2014","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","1","1_L13.avi","1","30.98487","Platycephalidae","Platycephalus","spp",3,-33.3635,115.2142,"10/12/2014","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","1","1_L13.avi","1","50.12846","Sparidae","Chrysophrys","auratus",1,-33.3635,115.2142,"10/12/2014","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","1","1_L13.avi","1","46.88466","Urolophidae","Trygonoptera","personata",1,-33.3635,115.2142,"10/12/2014","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","13.07752","Gerreidae","Parequula","melbournensis",53,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","22.19831","Labridae","Coris","auricularis",1,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","8.07029","Labridae","Eupetrichthys","angustipes",1,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","15.00167","Monacanthidae","Acanthaluteres","vittiger",2,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","33.90668","Mullidae","Upeneichthys","vlamingii",1,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","43.05472","Neosebastidae","Neosebastes","pandus",1,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","5.53609","Ostraciidae","Anoplocapros","amygdaloides",1,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10","10_L21.avi","1","42.23001","Trygonorrhinidae","Trygonorrhina","dumerilii",4,-33.5282,115.3313,"12/12/2014","10:48:00","Geographe Bay","Geographe Bay","22.7","Hayley","Yes","Yes",NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","12.67601","Carangidae","Pseudocaranx","spp",5,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","30.04671","Carangidae","Seriola","hippos",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","0.91814","Chaetodontidae","Chelmonops","curiosus",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","51.52375","Enoplosidae","Enoplosus","armatus",2,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","52.84006","Heterodontidae","Heterodontus","portusjacksoni",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","8.03581","Labridae","Austrolabrus","maculatus",4,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","17.76387","Labridae","Bodianus","frenchii",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","35.55277","Labridae","Choerodon","rubescens",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","23.01524","Labridae","Coris","auricularis",75,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","4.52508","Labridae","Ophthalmolepis","lineolatus",7,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","13.52241","Mullidae","Parupeneus","chrysopleuron",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","53.81548","Myliobatidae","Myliobatis","tenuicaudatus",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","30.60116","Parascylliidae","Parascyllium","variolatum",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","0.28417","Serranidae","Caesioperca","spp",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
