"campaignid","sample","biota.macroalgae","biota.unconsolidated","biota.seagrasses","biota.sponges","biota.consolidated","latitude","longitude","total.points.annotated"
"2014_TowedVideo","LGBDT1_0056",0,10,0,0,0,-33.59008333,115.1061,10
"2014_TowedVideo","LGBDT1_0061",0,5,3,0,0,-33.58995,115.1063333,8
"2014_TowedVideo","LGBDT1_0067",0,10,0,0,0,-33.58976667,115.1066,10
"2014_TowedVideo","LGBDT1_0074",0,7,2,0,0,-33.58958333,115.1068333,9
"2014_TowedVideo","LGBDT1_0077",0,6,1,0,0,-33.5895,115.1069833,7
"2014_TowedVideo","LGBDT1_0084",0,6,2,0,0,-33.58926667,115.1072167,8
"2014_TowedVideo","LGBDT1_0090",0,4,3,0,0,-33.58905,115.1074333,7
"2014_TowedVideo","LGBDT1_0118",0,2,1,0,0,-33.58821667,115.1084667,3
"2014_TowedVideo","LGBDT1_0124",0,1,5,0,0,-33.58798333,115.10865,6
"2014_TowedVideo","LGBDT1_0130",0,0,3,0,0,-33.58778333,115.1089167,3
"2014_TowedVideo","LGBDT1_0130",0,0,3,0,0,-33.5878,115.1089167,3
"2014_TowedVideo","LGBDT1_0159",0,0,10,0,0,-33.5868,115.1100167,10
"2014_TowedVideo","LGBDT1_0167",0,0,11,0,0,-33.58653333,115.1103167,11
"2014_TowedVideo","LGBDT1_0169",0,0,12,0,0,-33.58645,115.1103333,12
"2014_TowedVideo","LGBDT1_0174",0,0,8,0,0,-33.58623333,115.1104667,8
"2014_TowedVideo","LGBDT1_0175",0,0,8,0,0,-33.58618333,115.1104833,8
"2014_TowedVideo","LGBDT1_0178",0,0,8,0,0,-33.58608333,115.1105667,8
"2014_TowedVideo","LGBDT1_0185",0,0,10,0,0,-33.58583333,115.11075,10
"2014_TowedVideo","LGBDT1_0191",0,0,10,0,0,-33.58563333,115.1109333,10
"2014_TowedVideo","LGBDT1_0197",0,0,10,0,0,-33.58541667,115.1111167,10
"2014_TowedVideo","LGBDT1_0206",0,0,10,0,0,-33.5851,115.1113667,10
"2014_TowedVideo","LGBDT1_0207",0,0,10,1,0,-33.58506667,115.1114167,11
"2014_TowedVideo","LGBDT1_0226",0,0,10,0,0,-33.58445,115.11195,10
"2014_TowedVideo","LGBDT1_0234",0,0,5,0,0,-33.58413333,115.11215,5
"2014_TowedVideo","LGBDT1_0236",0,0,10,0,0,-33.58405,115.1121667,10
"2014_TowedVideo","LGBDT1_0243",0,0,5,0,0,-33.58378333,115.1122833,5
"2014_TowedVideo","LGBDT1_0247",0,0,7,0,0,-33.58363333,115.1123667,7
"2014_TowedVideo","LGBDT1_0249",0,0,10,0,0,-33.58355,115.1124,10
"2014_TowedVideo","LGBDT1_0253",0,1,6,0,0,-33.58341667,115.1125167,7
"2014_TowedVideo","LGBDT1_0260",0,0,11,0,0,-33.5832,115.1127833,11
"2014_TowedVideo","LGBDT1_0283",0,0,0,0,0,-33.58238333,115.11345,0
"2014_TowedVideo","LGBDT1_0302",0,0,11,0,0,-33.58171667,115.1140167,11
"2014_TowedVideo","LGBDT1_0309",0,0,4,0,0,-33.58146667,115.11425,4
"2014_TowedVideo","LGBDT1_0317",0,0,5,0,0,-33.58115,115.1145667,5
"2014_TowedVideo","LGBDT1_0337",0,5,10,0,0,-33.58041667,115.11515,15
"2014_TowedVideo","LGBDT1_0339",0,0,9,0,0,-33.58035,115.11525,9
"2014_TowedVideo","LGBDT1_0341",0,0,0,0,0,-33.58026667,115.1153,0
"2014_TowedVideo","LGBDT1_0343",3,0,8,0,0,-33.58018333,115.11535,11
"2014_TowedVideo","LGBDT1_0343",3,0,8,0,0,-33.5802,115.11535,11
"2014_TowedVideo","LGBDT1_0350",0,0,10,0,0,-33.57991667,115.1155167,10
"2014_TowedVideo","LGBDT1_0363",0,0,5,0,0,-33.57943333,115.1159,5
"2014_TowedVideo","LGBDT1_0387",0,0,11,0,0,-33.5785,115.1164833,11
"2014_TowedVideo","LGBDT1_0389",0,0,0,0,0,-33.57843333,115.1165667,0
