"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","broad.ascidians","broad.macroalgae","broad.molluscs","broad.seagrasses","broad.sponges","broad.substrate","broad.unscorable"
"186",-33.5387,115.1588,20210302,NA,"Geographe","y",0,100,0,8,0,8,0,84,0
"129",-33.5408,115.1741,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"160",-33.5446,115.18,20210302,NA,"Geographe","y",0,100,0,20,0,16,0,52,12
"144",-33.5491,115.1656,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"174",-33.5531,115.1821,20210302,NA,"Geographe","y",4,96,0,16,0,0,0,80,4
"208",-33.5558,115.1775,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"123",-33.5574,115.1548,20210302,NA,"Geographe","y",4,96,0,0,0,0,0,96,4
"237",-33.5584,115.1561,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"217",-33.5669,115.163,20210302,NA,"Geographe","y",0,100,0,0,0,0,0,100,0
"101",-33.5635,115.1855,20210302,NA,"Geographe","Y",0,100,0,0,0,16,0,84,0
"147",-33.5748,115.1841,20210302,NA,"Geographe","y",8,92,0,0,0,0,0,92,8
"189",-33.573,115.1959,20210302,NA,"Geographe","Y",0,100,0,4,0,84,0,12,0
"239",-33.5843,115.1935,20210302,NA,"Geographe","y",0,100,0,24,0,48,0,28,0
"85",-33.5787,115.2004,20210302,NA,"Geographe","Y",0,100,0,4,0,56,0,40,0
"63",-33.582,115.2022,20210302,NA,"Geographe","y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",-33.5788,115.2066,20210302,NA,"Geographe","Y",0,100,0,4,0,16,0,80,0
"81",-33.574,115.2101,20210302,NA,"Geographe","Y",0,100,0,4,0,16,0,80,0
"54",-33.5772,115.2115,20210302,NA,"Geographe","Y",0,100,0,8,0,4,0,88,0
"93",-33.5837,115.2153,20210302,NA,"Geographe","Y",4,96,0,12,0,36,0,48,4
"74",-33.5837,115.2119,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"51",-33.587,115.2134,20210302,NA,"Geographe","Y",0,100,0,20,0,0,0,80,0
"83",-33.5884,115.2055,20210302,NA,"Geographe","Y",0,100,0,12,0,84,0,4,0
"55",-33.5917,115.2069,20210302,NA,"Geographe","Y",0,100,0,48,0,8,0,44,0
"97",-33.5949,115.2038,20210302,NA,"Geographe","Y",0,100,0,0,0,24,0,76,0
"86",-33.5933,115.2087,20210302,NA,"Geographe","Y",4,96,0,24,0,32,0,40,4
"68",-33.5934,115.2149,20210302,NA,"Geographe","Y",4,96,0,12,0,84,0,0,4
"53",-33.5992,115.2197,20210302,NA,"Geographe","Y",0,100,0,64,0,20,0,16,0
"65",-33.6009,115.2278,20210302,NA,"Geographe","Y",0,100,0,12.5,0,25,0,62.5,0
"84",-33.6009,115.2313,20210302,NA,"Geographe","Y",0,100,0,0,0,24,0,76,0
"77",-33.596,115.2247,20210302,NA,"Geographe","Y",8.33333333333333,91.6666666666667,0,12.5,0,16.6666666666667,0,62.5,8.33333333333333
"61",-33.5895,115.2215,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"69",-33.5863,115.2183,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"88",-33.5862,115.2217,20210302,NA,"Geographe","Y",0,100,0,0,4,0,0,96,0
"90",-33.5765,115.2198,20210302,NA,"Geographe","Y",4,96,0,8,0,0,0,88,4
"59",-33.575,115.2262,20210302,NA,"Geographe","Y",0,100,0,40,0,0,0,60,0
"98",-33.5733,115.2215,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"100",-33.5658,115.2022,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"70",-33.5643,115.2101,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"89",-33.5644,115.2136,20210302,NA,"Geographe","Y",0,100,4,16,0,32,0,48,0
"78",-33.5668,115.2168,20210302,NA,"Geographe","Y",0,100,0,40,0,0,0,60,0
"56",-33.5702,115.2247,20210302,NA,"Geographe","Y",0,100,0,16.6666666666667,0,8.33333333333333,0,75,0
"94",-33.5622,115.2331,20210302,NA,"Geographe","Y",0,100,0,4,0,96,0,0,0
"75",-33.5622,115.2297,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"64",-33.5605,115.2199,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"96",-33.5589,115.2261,20210302,NA,"Geographe","Y",8,92,0,0,0,0,0,92,8
"67",-33.5573,115.2244,20210302,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"72",-33.5547,115.2146,20210302,NA,"Geographe","Y",8,92,0,0,0,0,0,92,8
"91",-33.5547,115.2116,20210302,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"60",-33.553,115.205,20210303,NA,"Geographe","Y",4,96,0,0,4,0,0,92,4
"87",-33.5497,115.2053,20210303,NA,"Geographe","Y",0,100,0,12,0,36,0,52,0
"115",-33.5467,115.1977,20210303,NA,"Geographe","Y",4,96,0,0,0,0,0,96,4
"95",-33.54,115.2006,20210303,NA,"Geographe","Y",4,96,0,4,0,0,0,92,4
"76",-33.5401,115.2085,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"52",-33.5433,115.2036,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"79",-33.545,115.2086,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"57",-33.5484,115.2164,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"71",-33.5428,115.2279,20210303,NA,"Geographe","Y",0,100,0,68,0,24,0,8,0
"62",-33.5461,115.2311,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"82",-33.5525,115.2279,20210303,NA,"Geographe","Y",8,92,0,0,0,0,0,92,8
"118",-33.5713,115.2398,20210303,NA,"Geographe","Y",0,100,0,0,0,0,0,100,0
"230",-33.5723,115.2482,20210303,NA,"Geographe","Y",0,100,0,0,0,92,0,4,4
"80",-33.5815,115.2295,20210303,NA,"Geographe",NA,12,88,0,0,0,4,0,84,12
"58",-33.5848,115.233,20210303,NA,"Geographe",NA,0,100,0,0,0,0,0,100,0
"99",-33.588,115.2299,20210303,NA,"Geographe",NA,0,100,0,0,0,4,0,96,0
"92",-33.5912,115.2282,20210303,NA,"Geographe",NA,4,96,0,0,0,0,0,96,4
"73",-33.5912,115.2312,20210303,NA,"Geographe",NA,4,96,0,0,0,0,0,96,4
"170",-33.592,115.2382,20210303,NA,"Geographe",NA,0,100,0,20,0,32,0,48,0
"206",-33.5948,115.243,20210303,NA,"Geographe",NA,8,92,0,52,0,4,0,36,8
"158",-33.6027,115.2546,20210303,NA,"Geographe",NA,0,100,0,24,0,72,0,4,0
"120",-33.5906,115.2584,20210303,NA,"Geographe",NA,4,96,0,0,0,96,0,0,4
"232",-33.5914,115.2502,20210303,NA,"Geographe",NA,3.84615384615385,96.1538461538462,0,30.7692307692308,0,46.1538461538462,0,19.2307692307692,3.84615384615385
"247",-33.5845,115.2409,20210303,NA,"Geographe",NA,4.54545454545455,95.4545454545455,0,4,0,48,0,44,4
"133",-33.5798,115.2491,20210303,NA,"Geographe",NA,0,100,0,4,0,4,0,92,0
"106",-33.5539,115.2544,20210303,NA,"Geographe",NA,4,96,0,28,0,8,0,60,4
"219",-33.5492,115.2582,20210303,NA,"Geographe",NA,4,96,0,4,0,0,0,92,4
"152",-33.5437,115.2653,20210303,NA,"Geographe",NA,4,96,0,0,0,0,0,96,4
"236",-33.5413,115.2891,20210303,NA,"Geographe",NA,4,96,0,0,0,0,0,96,4
"164",-33.5523,115.2746,20210303,NA,"Geographe",NA,0,100,0,0,0,0,0,100,0
"198",-33.5634,115.2626,20210303,NA,"Geographe",NA,0,100,0,0,0,0,0,100,0
"125",-33.5738,115.2682,20210303,NA,"Geographe",NA,0,100,0,16,0,24,0,60,0
"137",-33.5823,115.2692,20210303,NA,"Geographe",NA,0,100,0,8,0,12,0,80,0
"213",-33.6002,115.2714,20210303,NA,"Geographe",NA,8,92,0,44,0,20,0,28,8
"244",-33.604,115.2784,20210303,NA,"Geographe",NA,8,92,0,0,0,84,0,8,8
"128",-33.5994,115.2867,20210303,NA,"Geographe",NA,4,96,0,4,0,80,0,12,4
"185",-33.5976,115.2902,20210303,NA,"Geographe",NA,0,100,0,4,0,52,0,44,0
"203",-33.589,115.2811,20210303,NA,"Geographe",NA,16,84,0,16,0,56,0,12,16
"111",-33.5798,115.2917,20210303,NA,"Geographe",NA,0,100,0,8,0,48,0,44,0
"154",-33.5693,115.2837,20210303,NA,"Geographe",NA,8,92,0,32,0,32,0,28,8
"177",-33.561,115.2956,20210303,NA,"Geographe",NA,8,92,0,0,0,76,0,16,8
"150",-33.5569,115.3028,20210303,NA,"Geographe",NA,8,92,0,28,0,0,0,64,8
"245",-33.5665,115.3171,20210303,NA,"Geographe",NA,4,96,0,60,0,0,0,24,16
