"id","x","y","sample","geometry"
1,115.366130481002,-33.5482932583872,"GB-BV-P01",c(115.366130481002, -33.5482932583872)
2,115.372743641254,-33.5445143096718,"GB-BV-P02",c(115.372743641254, -33.5445143096718)
3,115.376689308295,-33.5406612639227,"GB-BV-P03",c(115.376689308295, -33.5406612639227)
4,115.383913769075,-33.5474967152756,"GB-BV-P04",c(115.383913769075, -33.5474967152756)
5,115.38339508984,-33.5271941280593,"GB-BV-P05",c(115.38339508984, -33.5271941280593)
6,115.387211087072,-33.5333812303679,"GB-BV-P06",c(115.387211087072, -33.5333812303679)
7,115.377615521216,-33.5524982650461,"GB-BV-P07",c(115.377615521216, -33.5524982650461)
8,115.361110406973,-33.5532392353824,"GB-BV-P08",c(115.361110406973, -33.5532392353824)
9,115.377819288058,-33.532343871897,"GB-BV-P09",c(115.377819288058, -33.532343871897)
11,115.354441673946,-33.5555547676836,"GB-BV-P11",c(115.354441673946, -33.5555547676836)
12,115.35055157968,-33.558518649029,"GB-BV-P12",c(115.35055157968, -33.558518649029)
13,115.34718016465,-33.5607786085549,"GB-BV-P13",c(115.34718016465, -33.5607786085549)
14,115.343780963232,-33.5625754616206,"GB-BV-P14",c(115.343780963232, -33.5625754616206)
15,115.342558362177,-33.5591299495565,"GB-BV-P15",c(115.342558362177, -33.5591299495565)
16,115.348412027834,-33.5557585345261,"GB-BV-P16",c(115.348412027834, -33.5557585345261)
17,115.35917462197,-33.5639277324845,"GB-BV-P17",c(115.35917462197, -33.5639277324845)
18,115.355932876748,-33.5656690127749,"GB-BV-P18",c(115.355932876748, -33.5656690127749)
19,115.345818631657,-33.5569811355811,"GB-BV-P19",c(115.345818631657, -33.5569811355811)
20,115.394037276296,-33.5273978949018,"GB-BV-P20",c(115.394037276296, -33.5273978949018)
21,115.397047468287,-33.5202475311559,"GB-BV-P21",c(115.397047468287, -33.5202475311559)
22,115.386803553387,-33.5242117224554,"GB-BV-P22",c(115.386803553387, -33.5242117224554)
23,115.388915318846,-33.5224333936481,"GB-BV-P23",c(115.388915318846, -33.5224333936481)
25,115.403253094854,-33.5213960351772,"GB-BV-P25",c(115.403253094854, -33.5213960351772)
26,115.405698296964,-33.518580347899,"GB-BV-P26",c(115.405698296964, -33.518580347899)
27,115.406291073233,-33.5215442292445,"GB-BV-P27",c(115.406291073233, -33.5215442292445)
28,115.402919658203,-33.5268051186327,"GB-BV-P28",c(115.402919658203, -33.5268051186327)
29,115.409514294197,-33.5231002669509,"GB-BV-P29",c(115.409514294197, -33.5231002669509)
30,115.404420123134,-33.51635743689,"GB-BV-P30",c(115.404420123134, -33.51635743689)
10,115.370076148044,-33.5419579620113,"GB-BV-P10",c(115.370076148044, -33.5419579620113)
24,115.339992752387,-33.5603155020947,"GB-BV-P24",c(115.339992752387, -33.5603155020947)
